Episódio;Título;Descrição
S05E20;Tradutores juramentados: mitos e verdades — Carolina Ventura;"Tradutor juramentado é funcionário público e ganha um salário super alto sem fazer nada; Tem muito glamour envolvido em ser tradutor juramentado; A “panela” dos tradutores juramentados não deixa abrir concurso para que tenham pouca concorrência; Tradutor juramentado só traduz texto chato, como documentos jurídicos, certidões...
Com certeza você já ouviu falar algo assim em relação a esse tipo de tradutor, não é?
Nesta palestra, Carolina Ventura apresentará quem é e o que faz o tradutor juramentado, discutindo mitos e verdades a respeito desse profissional tão desconhecido do público em geral e da própria comunidade brasileira de tradutores e intérpretes. Abordará suas peculiaridades em comparação ao tradutor não-juramentado e apresentará as características das traduções que produz. Por fim, explicará como se tornar um TPIC e comentará os desafios atuais relacionados a esse ofício."
S05E21;Variantes linguísticas: com que roupa eu vou? — Danny Reis;O que são registros do idioma? Podemos (e devemos) usar os vários registros da língua da mesma forma que escolhemos as roupas mais adequadas para cada ocasião da vida. Baseando-se em Marcos Bagno, Danny discutirá norma culta, graus de formalidade de um texto e mostrará alguns exemplos dos vários registros usados em cada tipo de texto com que trabalha: TCC, aulas EaD, livros de ficção e não ficção, audiolivros, revistas e produções audiovisuais (dublagem).
S05E22;Interação humano-computador na tradução: dos benefícios aos desafios — Rossana Cunha;O potencial da interação humano-computador para a tradução tem mostrado benefícios tanto para os usuários - que produzem traduções de alta qualidade - quanto para os modelos de processamento de linguagem natural, que conseguem aprimorar seus resultados a partir do feedback fornecido pelos usuários. O objetivo desta palestra é explorar as interseções da interação humano-computador (IHC), inteligência artificial e tradução automática, além de aplicações e a forma como o tema é abordado ela mídia. Espera-se assim elucidar os benefícios e desafios do uso da IHC na área de tradução, além de promover uma visão geral sobre o tema.
S05E23;Quality Assurance no cliente: o outro lado da mesa — Priscila Mottola;Sobre QA, em geral fala-se pouco. Sobre QA do lado do cliente, então? Só em ano bissexto. Entender a dinâmica e as expectativas do processo de QA no cliente pode virar a chave do seu trabalho, quer você se depare oficialmente com essa etapa ou não. Uma conversa que convida você a considerar seu papel, qualquer que seja, a partir de outra perspectiva.
S05E24;Localização de games: linguagem e mídia — Horacio Corral;A indústria de entretenimento digital é uma das maiores do mundo tanto em público, quanto em receita, tendo superado tanto a indústria da música quanto Hollywood. Games são uma mídia de natureza interativa. Os jogos digitais trazem um grande desafio para o tradutor já que, além do conhecimento da língua, a compreensão da linguagem e os conceitos dos games são essenciais para um bom profissional de mercado. A proposta desta palestra é abordar de maneira didática aspectos da tradução de games como internacionalização e localização, ferramentas e conceitos de criação de jogos, mídia e linguagem, e os desafios técnicos que esta mídia tão especial propõem.
S05E25;Versão brasileira: os desafios e as alegrias de adaptar canções para o português — Mariana Elisabetsky;Entrando em contato com os fundamentos da adaptação musical através de exemplos práticos de filmes e musicais versionados por Mariana Elisabetsky. E ainda um workshop para que você arrisque fazer sua própria adaptação musical. Os interessados receberão o material para versionar com antecedência e Mariana selecionará alguns deles para trabalhar em conjunto com a turma.
S05E26;UTF? ANSI? O que são codificações de texto, por que existem e como lidar com elas no trabalho de legendagem — Guilherme Gama;"Todo mundo que trabalha com legendagem já lidou com um arquivo cheio de ""minhoquinhas"", aquela legenda em que ""acentuação"" vira ""acentuaÃ§Ã£o"". Mas o que pouca gente sabe é que isso acontece por uma questão mais antiga até que os próprios computadores - as codificações de texto. Nesta palestra vamos examinar por que codificações existem, por que existem conflitos entre elas e como lidar com os problemas mais comuns que surgem no processo de legendagem."
S05E27;Mercado de trabalho — Teoria e prática — Isabel Riera;Nesta palestra, vamos conversar com Isabel sobre Localização e práticas do mercado sob a perspectiva de uma das maiores LSPs do mundo. O que causa uma boa impressão no processo seletivo e o que faz com que você seja prioridade para o seu cliente? Não tem fórmula mágica, mas vamos relembrar juntos alguns pontos que ficam perdidos na correria do dia a dia e fazem toda a diferença para você não só captar, mas firmar uma parceria de longo-prazo com seus clientes.
S05E28;Linux para tradutores — Rafa Lombardino;"Vamos deixar de lado a pergunta clássica ""Mac ou Windows?"" e refletir sobre a possibilidade de trazer o Linux para a nossa vida profissional. Rafa Lombardino, usuária da distribuição Ubuntu Linux há 14 anos e professora de tecnologias na tradução, vai falar um pouco sobre essa opção para quem ainda acredita que não dá para traduzir fora do binômio Apple-Microsoft. Vamos repassar os prós e os contras e ver quais programas, aplicativos e websites podem ajudar você a migrar para uma distribuição Linux sem interromper as suas atividades profissionais como tradutores e intérpretes."
S05E29;Uma porta para grandes oportunidades — Wania Grandesso;"Nesta palestra, Wania nos mostrará: Práticas do vendor management sob diferentes perspectivas; Por que as empresas vêm investindo fortemente no desenvolvimento de equipes altamente capacitadas na área de vendor management; A qualificação para o processo de seleção; Por que a certificação é tão importante; Como ter a melhor experiência de interação com as diferentes áreas da empresa; A diversidade de opções de atuação junto à empresa."
S05E30;A tradutora roqueira: livros, música e interação com os leitores — Candice Soldatelli;Imagine ser fã de rock desde a pré-adolescência e, anos depois, trocar e-mails com um dos maiores bateristas de todos os tempos para tirar dúvidas sobre tradução? Mais que um sonho realizado, é uma responsabilidade imensa. Nessa palestra, falo sobre como traduzir livros sobre música me aproximou dos meus ídolos, dos fãs das bandas e de todo o universo das gravadoras, da crítica musical, dos shows e, principalmente, do amor pela arte que é a trilha sonora das nossas vidas. Pesquisas, entrevistas, trocas de mensagens, visitas in loco, revisão técnica e a relação próxima com os autores dos livros, revisores e preparadores de originais: todos os passos de uma jornada profissional em busca da melhor tradução possível.
S05E31;Dicionário Gastronômico: receita e degustação — Rozane Rebechi;Nesta apresentação, Rozane falará sobre a construção do Dicionário Gastronômico. Trata-se de um material terminográfico português < > inglês desenvolvido segundo os princípios da Linguística de Corpus. O objetivo do Dicionário é oferecer aos tradutores e redatores de textos culinários, especialmente de críticas gastronômicas, opções de tradução e exemplos de uso extraídos de textos autênticos, considerando-se as diferenças do gênero entre as duas línguas e culturas. O Dicionário foi testado com tradutores em formação, e os resultados comprovaram que o material auxilia na produção de textos convencionais na língua de chegada. Diante desse resultado positivo, o Dicionário está sendo adaptado para uma termbase.
S05E32;Qual é a dimensão do mundo do tradutor? — Juliana Pazetti;"O que ser tradutor representa para você? Basta conhecer dois idiomas e, hoje, ter computador com internet? 
Nessa palestra, Juliana abordará como podemos (ou devemos) olhar para o mundo como um ambiente de trabalho regular e cheio de oportunidades. Mostrará que o mundo do tradutor não se limita apenas a traduzir, que ele envolve também várias outras frentes de um negócio que pode ser local ou global."
S05E33;Tradução de textos de turismo e viagem: características e teoria funcionalista — Sofia Pulici;Muitos tradutores pensam que textos de turismo e viagem são genéricos e não é preciso especialização para traduzi-los, mas, quando aceitam um projeto da área, acabam tendo muitas dificuldades por não entender algumas características do texto ou sua função, tornando o trabalho penoso ou entregando menor qualidade.
S05E34;Traduzindo Neil Gaiman e outras criaturas fantásticas — Renata Pettengill;Um passeio pela experiência de como foi traduzir, de Neil Gaiman, “O oceano no fim do caminho”, “A bela e a adormecida”, “Hora nenhuma: o décimo primeiro doutor” e “Como falar com garotas em festas”. E como essa experiência se compara com a tradução do “A culpa é das estrelas” e “O teorema Katherine”, de John Green, e do “Em busca de Wondla” e “Um herói para Wondla”, de Tony DiTerlizzi, e, por fim, com o “Holy Cow - uma fábula animal”, de David Duchovny.
